SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1	7.7019077142857135	-0.5337537792894937	1.1360688752996435	2.24	0.33	0.092	1.206	0.192	1	2	0	0	0	10.216698334856808	1.2789298387832848
C=C1C[C@]23CC1C(O)CC2[C@@]12CCC[C@@](C)(C(=O)OC1)C2C3C(=O)O	7.54886964539007	0.2019389631846382	0.48865142579998383	2.29	0.224	0.211	1.685	0.073	0	0	0	0	0	6.578935683598497	0.0
CC(=O)Nc1ccc(C(=O)O)cc1N	7.511447666666668	0.31925675675675674	0.42624719299451086	2.24	0.529	0.164	5.837	0.129	1	4	0	0	0	5.316788604006331	0.7492611489040069
COc1ccc2[nH]c3c(c2c1)CCNC3	7.61050096969697	0.03534752999675729	1.329263618906216	2.22	0.49	0.106	0.657	0.078	0	4	0	0	0	22.43350126187676	3.7036904761904763
CC(C)(O)/C=C/C[C@](C)(O)C1C(=O)C[C@]2(COC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)C1CCC1[C@@]3(C)CCC(OC4OCC(O)C(O)C4O)C(C)(C)C3CC[C@]12C	7.683957883870967	-0.11496407013509631	0.9476860960430705	2.28	0.092	0.039	0.53	0.035	0	0	1	0	0	27.694948798762496	0.0
CCC1(c2ccccc2)NC(=O)N(C)C1=O	7.163700093023254	1.079506172839506	0.430151174280204	2.24	0.394	0.206	3.473	0.15	3	6	0	0	0	5.316788604006331	0.8335185185185188
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2	7.786500884057971	0.3367218162985357	0.7098575777915169	2.23	0.349	0.21	1.654	0.223	0	11	0	1	0	10.197363616602075	5.695295676912741
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12	7.067886098360657	0.5034247090878983	0.919839978313703	2.19	0.556	0.15	0.717	0.065	0	7	0	0	0	54.14726678358371	2.606805555555556
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(SC)O1	7.539999126760562	0.5393131175532948	0.7858606060307891	2.26	0.174	0.14	1.144	0.077	0	0	0	0	0	13.847474399381248	0.0
O=[N+]([O-])c1ccc(O)cc1	9.471168	0.2581818181818183	0.5169991990655451	2.25	1.263	0.117	8.451	0.201	0	2	0	0	0	0.0	0.01703703703703785
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	7.410014188679245	1.2056606359649122	0.3840592651258758	2.24	0.357	0.217	2.449	0.106	4	7	0	0	0	5.316788604006331	0.6058796296296298
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	7.238874884615385	-0.09169135501717064	0.5861690853350732	2.26	0.222	0.147	0.951	0.083	0	0	0	0	0	19.92349450621513	0.0
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O	7.168910114942528	-0.2484198493813879	0.3904840484849328	2.28	0.231	0.067	1.339	0.089	0	0	0	0	0	67.68393826802944	0.0
CC1(C)C=C2c3cc4[nH]c5c(c4cc3C(O)C2C(C)(C)O1)CC1CC[C@@]2(O)C3=CC(O)C(C(C)(C)O)OC3CC[C@]2(C)[C@@]51C	7.4456238607594925	0.49858142782180226	0.8831094396870155	2.22	0.126	0.089	0.421	0.041	0	6	1	0	0	64.73515596284804	4.603501018693206
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	7.444717125	0.07755618866729964	0.6523180974584084	2.24	0.681	0.053	2.133	0.221	2	5	0	0	0	5.316788604006331	1.5100384227765193
O=[N+]([O-])c1cc2ccc3cccc4ccc(c1)c2c34	7.888614962962964	0.15846338535414153	0.3221426933756912	2.17	0.187	0.114	2.047	0.136	0	2	0	0	0	12.13273413692322	0.14433437263794446
Nc1cccc(-c2cnn3ccc(Nc4cccc(Cl)c4)nc23)c1	7.692984656716416	-0.017615939684268483	0.7641729115629128	2.24	0.328	0.115	1.171	0.179	0	14	0	1	0	15.399448933254575	4.88905359648791
CCCCC(=O)NC1(C(=O)NCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)CCCC1	7.454845703225806	0.6533713200379868	0.504410196358481	2.22	0.19	0.087	0.456	0.076	2	13	0	0	0	38.18144821561509	4.475731055380393
c1ccc2[nH]ccc2c1		-0.33622685185185186	1.0340805496837169	2.23	0.326	0.055	0.482	0.077	0	2	0	0	0	23.18307972633204	0.0
