idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
1609;1609;C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@@]43C)[C@H]12;1610;0;O[C@H]1CC[C@]2([C@H](CC[C@]3([C@H]2CC=C2[C@@H]4[C@@H](C)[C@@H](CC[C@@]4(CC[C@@]23C)C(O)=O)C)C)C1(C)C)C;training;;
1610;1610;CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)[C@@H](C(C)=O)C(=O)[C@]12C;1611;0;O1c2c([C@]3(C1=CC(=O)[C@@H](C(=O)C)C3=O)C)c(O)c(C)c(O)c2C(=O)C;training;;
1611;1611;CC[C@@H](C)C(=O)O[C@@H]1C[C@@]2(C)[C@H](c3ccoc3)OC(=O)C[C@]23O[C@@]2(C)O[C@@]34[C@H](OC(C)=O)[C@@]3(O)[C@@H](OC(=O)[C@]5(C)O[C@H]5C)[C@]5(C)C[C@@]3(O)[C@@](C)([C@H]5CC(=O)OC)[C@@]14O2;1612;1;O1[C@H]([C@]2([C@@]3(O[C@@]4(O[C@@]5([C@]3(O4)[C@H](OC(=O)C)[C@]3(O)[C@@]4(O)C[C@](C)([C@H](CC(OC)=O)[C@]45C)[C@H]3OC(=O)[C@@]3(O[C@H]3C)C)[C@H](OC(=O)[C@@H](CC)C)C2)C)CC1=O)C)c1ccoc1;training;;
1612;1612;C[C@H]1[C@H](C)CC[C@]2(CO)CC[C@@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@H]5CC[C@@]43C)[C@H]12;1613;0;O[C@H]1CC[C@]2([C@H](CC[C@]3([C@H]2CC=C2[C@@H]4[C@@H](C)[C@@H](CC[C@@]4(CC[C@@]23C)CO)C)C)C1(C)C)C;training;;
1613;1613;CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21;1614;0;O=C1NC(=Nc2n(cnc12)COCCOC(=O)[C@@H](N)C(C)C)N;training;;
1614;1614;Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1;1615;0;S(=O)(=O)(N)c1ccc(cc1)-c1c(noc1C)-c1ccccc1;training;;
1615;1615;CCCCC(=O)Oc1ccccc1C(=O)O;1616;0;O(C(=O)CCCC)c1ccccc1C(O)=O;training;;
1616;1616;CC(C)[C@H]([NH3+])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-];1617;0;O=C(N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)[O-])[C@@H]([NH3+])C(C)C;training;;
1617;1617;CN[C@H](CC(C)C)C(=O)N[C@@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@@H]3C(=O)C[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O;1618;0;Clc1c2Oc3cc4[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC)CC(C)C)[C@H](O)c(c1)cc2)CC(=O)N)C(=O)N[C@H]1c2cc(-c5c(cc(O)cc5O)[C@@H](NC(=O)[C@@H](CC1=O)[C@H](O)c1cc(Cl)c(Oc(c4)c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@@H](O)[C@@](N)(C3)C)cc1)C(O)=O)c(O)cc2;training;;
1618;1618;COc1ccc(C(=O)O)cc1OC;1619;0;O(C)c1cc(ccc1OC)C(O)=O;training;;
