SMILES;ATSC6dv;X3sol;VSA_EState3;X2sol;PEOE_VSA8;H-050;GATS1c;SLogP
CCCCc1cc(C)ccc1O;-39.67346938775511;3.5531323068198626;9.46158635676493;4.7978163098743245;0.0;1.0;1.4186293589890029;3.043220000000002
FCF;0.0;0.0;0.0;0.0;0.0;0.0;1.2963334187294207;0.8829
Fc1ccccc1;0.0;1.5;0.0;2.1213203435596424;0.0;0.0;1.1014488238158888;1.8256999999999999
COC1CC1;0.0;1.1522652263201556;0.0;1.8516239634379275;7.109797541277533;0.0;1.0858183875748122;0.7952
COP(C)(=O)OC;16.335069444444446;2.8713203435596424;0.0;4.306980515339464;20.884420686787603;0.0;1.893138452380406;1.1020999999999999
CCOCCOCCOC(C)=O;-18.44897959183673;2.3850278050148312;0.0;4.303842328271808;13.530619164203543;0.0;1.4426924544869104;0.6025999999999998
O=C(O)C(F)(F)Cl;0.0;1.2247448713915892;3.2569444444444438;2.0062192858131467;0.0;1.0;1.7410668618574578;0.9026000000000001
CC(C)CCOC(=O)c1ccccc1O;-75.06867845993754;4.349667346533668;9.388611426051902;6.227629939182756;0.0;1.0;1.5112664315478312;2.5951000000000017
O=C(O)C(Cl)CCl;0.0;2.7435165649279973;7.022700617283951;3.2044640676433978;5.880003444970339;1.0;1.5797116432389338;0.9172
Brc1ccc(-c2ccccc2)cc1;-3.827137820403813;4.95436036690137;0.0;6.234538586570654;4.472719515832414;0.0;0.9836591848135448;4.116100000000003
CCCCCCCOC(C)=O;-2.7395957193816924;2.1350278050148312;0.0;3.950288937678534;6.923737199690624;0.0;1.6335117149868879;2.5199000000000007
CCOC(=O)C#N;-18.666666666666664;1.4783978394802335;7.741342592592592;2.302095140581215;0.0;0.0;1.6112812110841177;0.07308000000000003
CC(C)(Cl)Cl;0.0;0.0;0.0;4.625;0.0;0.0;1.9421343652970462;2.2001
Fc1ccccc1F;0.0;1.5;0.0;2.1213203435596424;0.0;0.0;1.0934798340690823;1.9647999999999999
FC(F)(F)/C(Cl)=C(/Cl)C(F)(F)F;0.0;2.083333333333333;-4.728395061728394;3.398717474235544;0.0;0.0;2.0285074903640536;3.8002
CC(Cl)CO;0.0;1.0206207261596576;7.923611111111111;2.2948944204079593;0.0;1.0;1.340760424834264;0.6060000000000001
O=C(/C=C/c1ccco1)c1ccccc1;1.8479999999999976;4.959569398169023;0.0;6.103206703898244;5.563451491696996;0.0;1.2095777213329364;3.1757000000000017
CCC(C)CCC(C)CC;-10.6640625;2.546112076437508;0.0;3.6041902811624307;0.0;0.0;1.6945528873382942;3.858800000000003
CCCCCCC(C)I;-1.9647512601358756;2.0680405069070504;0.0;4.72157999597222;3.924636825529795;0.0;1.4981592702620519;3.780300000000003
COc1ccc(C(N)=O)cc1;38.0;3.4115708488299443;0.0;4.4330708238696905;5.563451491696996;2.0;1.557671660259812;0.7941000000000001
C1CCC2(CC1)CCCCC2;5.498439125910508;3.828427124746191;0.0;4.621320343559643;0.0;0.0;1.389645994299865;3.9010000000000034
C=CC(C)(O)CCC=C(C)C;-14.019024970273485;2.592134586201379;9.488774565381709;4.803842328271808;0.0;1.0;1.4774976815536633;2.6698000000000013
CC(C)COC(=O)Cc1ccccc1;-59.95555555555552;3.6972633474701424;0.0;5.81610693997892;0.0;0.0;1.5269594542810618;2.4283
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C;494.0117333102455;21.767897705532175;0.0;40.87633925155057;0.0;0.0;2.326238972502552;9.138400000000004
COC(=O)CC(C)C;7.199999999999999;1.5706968729118902;0.0;3.14296911649927;6.4208216229260096;0.0;1.6087215054524784;1.2055
C=COCCO;-0.8163265306122434;0.9571067811865475;8.024583333333332;1.7071067811865475;0.0;1.0;1.3128554830341874;0.13879999999999998
FC(F)OC(F)C(F)(F)F;0.0;0.5;0.0;1.0;0.0;0.0;1.9523637006652161;2.0835
CCNCCN(C)C;-9.0625;1.385027805014831;3.237916666666667;2.889628765898712;13.08951281182515;1.0;1.5136610278756948;0.15749999999999997
O=C(c1ccccc1)C(F)(F)F;-86.48096885813148;2.592638955843123;0.0;3.6421070322115847;5.563451491696996;0.0;1.6096080802716797;2.4316000000000004
CCCCCCCCCCCCc1cccc(O)c1;-0.649729279466885;5.010923947439055;9.374411831057998;7.108458689419672;0.0;1.0;1.4328200445602512;5.855600000000006
CC(C)(C)c1ccc(C(C)(C)C)o1;-35.95867768595041;3.8821154282373707;0.0;6.938950187271373;10.82998093879356;0.0;1.50515465563586;3.8746000000000027
Brc1ccc(Oc2ccc(Br)cc2)cc1;-10.688873848994273;6.092224152875016;0.0;8.12049073762343;8.945439031664828;0.0;1.374139078710752;5.0039000000000025
CCOC(C)=O;18.36734693877551;0.8660254037844388;0.0;2.182521984712165;6.923737199690624;0.0;1.6358855235892713;0.5694
CCCCc1cccnc1;-20.245746691871453;2.690670697680658;0.0;3.6462643699419734;12.393687143226153;0.0;1.1022107814279407;2.424200000000001
C=C(C)C(=O)OCC(C)C;-52.4375;2.3374299245754706;0.0;4.192497939355983;5.573104530069267;0.0;1.7290498509289172;1.7617
CC#CN;0.0;0.5;0.0;1.0;6.04436910184221;2.0;1.792306834671648;-0.07409999999999994
O=C(O)CCCCCCBr;-7.144032921810702;2.2385811956081048;9.288593553162006;4.09673554708526;11.750911269987437;1.0;1.6394665487285265;2.4164000000000003
CC(C)c1ccccc1Cl;7.092298647854203;3.3925436479495725;0.8726851851851856;4.540403292844683;5.022633313741326;0.0;1.2695661120220338;3.4634000000000027
