ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
733;COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C;733;;0;;698792;classBSEPsub;SMILES;COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C;classBSEPsub;0;0;valid
734;CC(C)(O)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(=O)C(O)C4(C)C)C3(C)C(=O)CC12C;734;;0;;308606;classBSEPsub;SMILES;CC(C)(O)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(=O)C(O)C4(C)C)C3(C)C(=O)CC12C;classBSEPsub;0;0;valid
735;NCCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13;735;;0;;349174;classBSEPsub;SMILES;NCCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13;classBSEPsub;0;0;valid
736;CCn1c(SCC(=O)N/N=C/c2ccccc2)nc2ccccc2c1=O;736;;0;;686367;classBSEPsub;SMILES;CCn1c(SCC(=O)N/N=C/c2ccccc2)nc2ccccc2c1=O;classBSEPsub;0;0;valid
737;NS(=O)(=O)OCCCCCCCOS(N)(=O)=O;737;;0;;329680;classBSEPsub;SMILES;NS(=O)(=O)OCCCCCCCOS(N)(=O)=O;classBSEPsub;0;0;valid
738;O=C(O)C1=CN(c2ccncc2)C(c2ccco2)=CC1c1ccccc1[N+](=O)[O-];738;;0;;692582;classBSEPsub;SMILES;O=C(O)C1=CN(c2ccncc2)C(c2ccco2)=CC1c1ccccc1[N+](=O)[O-];classBSEPsub;0;0;valid
739;CC(=O)c1csc2c1C(=O)c1ccccc1C2=O;739;;0;;694072;classBSEPsub;SMILES;CC(=O)c1csc2c1C(=O)c1ccccc1C2=O;classBSEPsub;0;0;valid
740;c1ccc(/N=C2/c3ccsc3/C(=N\c3ccccc3)c3ccsc32)cc1;740;;0;;668405;classBSEPsub;SMILES;c1ccc(/N=C2/c3ccsc3/C(=N\c3ccccc3)c3ccsc32)cc1;classBSEPsub;0;0;valid
741;CC(=O)Oc1c2ccsc2c(OC(C)=O)c2ccsc12;741;;0;;695914;classBSEPsub;SMILES;CC(=O)Oc1c2ccsc2c(OC(C)=O)c2ccsc12;classBSEPsub;0;0;valid
742;Cc1cc(C(C)/N=N/c2nc3ccccc3s2)ncn1;742;;0;;693633;classBSEPsub;SMILES;Cc1cc(C(C)/N=N/c2nc3ccccc3s2)ncn1;classBSEPsub;0;0;valid
743;COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O;743;;0;;122819;classBSEPsub;SMILES;COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O;classBSEPsub;0;0;valid
744;COc1ccc2nc3ccccc3c(NCCN(C)CCCl)c2c1;744;;0;;628115;classBSEPsub;SMILES;COc1ccc2nc3ccccc3c(NCCN(C)CCCl)c2c1;classBSEPsub;0;0;valid
745;O=NN(CCSCCCl)C(=O)NC1CCCCC1;745;;0;;292684;classBSEPsub;SMILES;O=NN(CCSCCCl)C(=O)NC1CCCCC1;classBSEPsub;0;0;valid
