ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_Potts;NAME_Potts;CAS_Potts;y_Potts_nointraoutliers_nointeroutliers;ID_Khajeh;NAME_Khajeh;CAS_Khajeh;y_Khajeh_nointraoutliers_nointeroutliers;units
155;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]2(O)C(=O)CO;-4.08168;;valid;28;;601-05-8;-4.08168;;;;;logcm/h
156;C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO;-5.4;0.0;valid;193;;124-94-7;-5.4;281;triamcinolone;;-5.4;logcm/h
157;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO;-4.350925;0.0013081475451952043;valid;144;;50-24-8;-4.35185;195;prednisolone;;-4.35;logcm/h
158;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO;-4.01295;0.013081475451950788;valid;0;;50-22-6;-4.0222;251;Corticosterone ;;-4.0037;logcm/h
159;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O;-3.20016;;valid;162;;83784-20-7;-3.20016;;;;;logcm/h
160;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(N)=O;-4.58834;;valid;136;;114593-85-0;-4.58834;;;;;logcm/h
161;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O;-2.74618;;valid;130;;107085-84-7;-2.74618;;;;;logcm/h
162;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(N)=O;-3.0502;;valid;163;;114593-87-2;-3.0502;;;;;logcm/h
163;C[n+]1ccc(-c2cc[n+](C)cc2)cc1;-5.08016;;valid;108;;1910-42-5;-5.08016;;;;;logcm/h
164;Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C;-2.979565;0.014757318523363521;valid;120;;58-15-1;-2.96913;68;aminopyrine;;-2.99;logcm/h
165;Cc1cc(=O)n(-c2ccccc2)n1C;-4.18;;valid;226;;60-80-0;-4.18;;;;;logcm/h
166;Cc1cc(Cl)ccc1O;-1.26333;;valid;128;;1570-64-5;-1.26333;;;;;logcm/h
167;Cc1cc(O)cc(C)c1Cl;-1.243325;0.018844395718621537;valid;[113, 197];;88-04-0;-1.25665;44;4-Chloro-3,5-dimethylphenol ;;-1.23;logcm/h
168;Cc1cc(O)ccc1Cl;-1.20251;;valid;25;;59-50-7;-1.20251;;;;;logcm/h
169;Cc1ccc(C(C)C)c(O)c1;-1.229505;0.06477805222449959;valid;117;;89-83-8;-1.27531;216;thymol ;;-1.1837;logcm/h
170;Cc1ccc(C(C)C)cc1O;-1.2837;;valid;179;;499-75-2;-1.2837;;;;;logcm/h
