ID;orig_ID;SMILES;Property;smiles_source;experimental_column;UNITS
180;hERG181;COc1c(F)cc(CN2CCC(NC(C(Oc(c3C4=O)cc(F)cc3)=C4)=O)CC2)cc1;1;Smiles;Property;classhERGinh
181;hERG182;FC(CN1c(c2C(c3ccccc3)=NC(NC(Cc4c(C(F)(F)F)cc(C(F)(F)F)cc4)=O)C1=O)cccc2)(F)F;1;Smiles;Property;classhERGinh
182;hERG183;CS(Nc1cc(c2cc1)C(O)CC3(CCN(C4Cc(c5CC4)ccc(C#N)c5)CC3)O2)(=O)=O;1;Smiles;Property;classhERGinh
183;hERG184;CC(NC(C(COc1c(c2c(C)cc1)CCC2)O)C)C;1;Smiles;Property;classhERGinh
184;hERG185;CN1CC(c2c(c3[nH]c2c4ccccc4)cccc3)CCC1;1;Smiles;Property;classhERGinh
185;hERG186;CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)=O;1;Smiles;Property;classhERGinh
186;hERG187;Cc1ccc(c2n(c3ccc(S(N)(=O)=O)cc3)nc(C(F)(F)F)c2)cc1;1;Smiles;Property;classhERGinh
187;hERG188;NC(N)=Nc1scc(CSCCC(N)=NS(N)(=O)=O)n1;1;Smiles;Property;classhERGinh
188;hERG189;CN(S(C)(=O)=O)C1c(c2OC(C)(C)C1O)cc(OCCCC(F)(F)F)cc2;1;Smiles;Property;classhERGinh
189;hERG190;CC(C(O)=O)(CN1CCC(=C2c(c3OCc(c24)cc(F)cc4)cccc3)CC1)C;1;Smiles;Property;classhERGinh
190;hERG191;CC(CN1c(c2C(=O)N(C)C1=O)nc[nH]2)C;1;Smiles;Property;classhERGinh
191;hERG192;Fc1ccc(N2c(c3C(C4CCN(CCN5C(=O)NCC5)CC4)C2)cccc3)cc1;1;Smiles;Property;classhERGinh
192;hERG193;CC(COc1c(C)cccc1C)N;1;Smiles;Property;classhERGinh
