ID;orig_ID;idx_separated;SMILES;Index;Binary_Characterization;old_ID;subset;NAME;Characterization;smiles_source;experimental_column;UNITS
1466;1466;1466;CC(=O)O[C@@H]1CC[C@@]23C(=O)O[C@@]45CCC(C6=CC(=O)OC6)[C@]4(C)CC[C@@H]2[C@H]5CC[C@@]3(O)C1;1467.0;0;O1CC(=CC1=O)[C@@H]1CC[C@]23OC(=O)[C@@]45[C@@H]([C@H]2CC[C@]4(O)C[C@H](OC(=O)C)CC5)CC[C@]13C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1467;1467;1467;C[C@@]12CC[C@@H]3[C@H](CC[C@@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@H]2C1=CC(=O)OC1;1468.0;0;O1CC(=CC1=O)[C@@H]1CC[C@]2(O)[C@@H]3[C@@H](CC[C@@]12C)[C@]1(CC[C@H](O)C[C@]1(O)CC3)C=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1468;1468;1468;O=C1C[C@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@@H]5[C@H]2[C@H]3C[C@H]46;1469.0;0;O1[C@H]2[C@@H]3[C@@H]4C(=CC1)CN1[C@H]([C@@]5([C@@H]3N(c3c5cccc3)C(=O)C2)CC1)C4;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1469;1469;1469;CC(=O)CC(=O)CCC(=O)O;1470.0;0;OC(=O)CCC(=O)CC(=O)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1470;1470;1470;O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1;1471.0;0;s1ccnc1NS(=O)(=O)c1ccc(NC(=O)CCC(O)=O)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1471;1471;1471;Clc1ccc(CS[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1;1472.0;0;Clc1cc(Cl)ccc1[C@H](SCc1ccc(Cl)cc1)Cn1ccnc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1472;1472;1472;Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1;1473.0;0;S(=O)(=O)(NC(=O)c1ccccc1)c1ccc(N)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1473;1473;1473;Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1;1474.0;0;Clc1nnc(NS(=O)(=O)c2ccc(N)cc2)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1474;1474;1474;Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1;1475.0;0;S(=O)(=O)(Nc1ncccn1)c1ccc(N)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1475;1475;1475;COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1;1476.0;0;S(=O)(=O)(Nc1nc(OC)nc(OC)c1)c1ccc(N)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1476;1476;1476;N=C(N)NS(=O)(=O)c1ccc(N)cc1;1477.0;0;S(=O)(=O)(NC(N)=N)c1ccc(N)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1477;1477;1477;Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1;1478.0;0;S(=O)(=O)(Nc1nc(ccn1)C)c1ccc(N)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1478;1478;1478;COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1;1479.0;0;S(=O)(=O)(Nc1ncc(OC)cn1)c1ccc(N)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
