SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
COc1ccc2c(c1)c(CC(=O)NCC(O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1	0.13	2.41	0.15	0.36	0.03	0.15	0.01	0.05	1.32	1.32	0.74	-0.57	-0.33	-0.44	0.16	-0.49	-0.5	1.0	1.0
CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1	-0.04	1.3	0.15	0.63	-0.48	-0.2	-0.38	0.65	0.54	-0.56	0.73	-0.98	-0.13	1.08	-0.35	0.88	-1.77	0.0	0.0
CCN(CC)C(=O)N1CCN(C)CC1	2.67	-0.92	0.15	0.71	-0.04	1.55	-1.04	1.09	0.85	-0.7	-0.86	0.11	0.32	-0.14	-0.56	-0.37	0.84	0.0	0.0
O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O	-0.93	0.19	-0.71	-1.93	-0.04	-1.0	-0.18	-4.94	-0.7	-0.31	0.82	-0.13	0.12	1.4	-1.06	0.86	-0.66	0.0	0.0
c1ccc(COCc2ccccc2)cc1	-0.93	1.85	-0.72	1.07	-0.04	1.97	0.64	-1.07	0.69	0.6	-0.16	-0.9	0.34	-1.4	3.76	-1.75	-0.86	0.0	0.0
O=C(O)C[C@H](O)[C@H](O)CO	-0.42	-0.92	-0.71	-3.32	-0.6	-0.8	-0.59	-2.03	-0.86	-0.7	0.15	-0.38	0.28	-0.97	0.78	0.75	-0.27	0.0	0.0
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341	0.68	-0.37	0.14	0.22	1.04	0.97	0.07	0.55	0.54	1.71	-0.45	-0.06	-0.09	0.12	0.9	0.74	0.42	1.0	1.0
C=C[C@]1(C)CCC(OC2OC(COC3OC[C@@](O)(CO)C3O)C(O)C(O)C2O)C(C)(C)O1	0.61	-0.92	-0.71	-1.1	-0.04	0.49	1.17	-0.52	0.85	-0.7	-0.1	0.64	-0.6	-0.83	1.36	0.06	-0.73	0.0	0.0
NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC=O)C(=O)O)C(=O)O)C(=O)O)C(=O)O	-0.93	-0.92	0.14	-2.37	-3.83	-0.95	2.54	-0.59	-0.86	-0.7	1.08	1.31	-0.64	0.14	-0.73	-0.23	0.0	0.0	0.0
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O	-0.55	-0.09	2.86	-0.89	-0.39	-0.91	-0.01	0.39	-1.01	-2.33	3.94	-1.35	0.14	2.16	-1.12	-1.09	-0.33	0.0	0.0
