SMILES;Name;Cluster;Center
OC1CCC2OC(c3ccc(-c4ccccc4)cc3)OC12;CNP0301333;659;No
ON=Cc1ccccc1;['NPC125144',;659;No
COC1C(=O)c2ccc3occc3c2OC1c1ccccc1;CNP0204588;659;No
Oc1ccc(Br)cc1C(CC(NNc1ccccc1)c1ccc(F)cc1)=NNc1ccccc1;CNP0060858;659;No
Nc1c2c(nc3ccccc13)N(Cc1ccccc1)CC2;CNP0062782;659;No
S=CC=NCc1ccccc1;CNP0397095;659;No
Cc1cc(N=Nc2ccccc2)c(C(C)C)cc1[N+]([O-])=Nc1ccccc1;CNP0286828;659;No
O=C(O)CC1(O)c2ccccc2-[n+]2ccc3c([nH]c4cc(Br)ccc43)c21;CNP0432325;659;No
N#CSCc1ccccc1;['NPC52330',;659;No
O=C(C=Cc1ccco1)c1cc2ccccc2oc1=O;CNP0042668;659;No
CC(C)CCN=Cc1ccco1;CNP0434350;659;No
CC1=CC(C)(C)Nc2cccc3c2c1cn3Cc1ccccc1;CNP0407998;659;No
O=C1OC(c2ccccc2)C(C(=O)[O-])c2ccccc21;CNP0061047;659;No
Cc1nn(-c2ccccc2)c2nnc(-c3ccccc3)nc12;CNP0049115;659;No
O=C1CCC(Cc2ccccc2)N1;CNP0343477;659;No
O=C(CSc1nc(O)c2ccccc2n1)NCc1nc2ccccc2[nH]1;CNP0125464;659;No
CC(C)(C)Nc1nc(Cl)nc(Nc2ccccc2)n1;CNP0052734;659;No
c1ccc2c3c(ccc2c1)C1CCCCC1CC3;CNP0151085;659;No
CC(=O)CCc1c(C)nc2ccccc2c1O;CNP0422371;659;No
C=c1c2ccccc2c(=C)c2oc(C(C)=O)cc12;CNP0008301;659;No
Nc1c2ccccc2nc(=S)n1Nc1ccccc1;CNP0070236;659;No
CC(=O)NS(=O)(=O)c1ccccc1;CNP0070980;659;No
CN(C)Cc1c[nH]c2c(OCc3ccccc3)cccc12;CNP0159347;659;No
CCc1ccccc1Br;CNP0315528;659;No
CC(=O)c1ccccc1O;['CNP0264178',;659;No
FC(F)(F)C(Oc1nc(OC(C(F)(F)F)C(F)(F)F)nc(N(c2ccccc2)c2ccccc2)n1)C(F)(F)F;CNP0036280;659;No
CC(=CC(C)(C)c1ccccc1)c1ccccc1;CNP0086332;659;No
c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34;CNP0082843;659;No
CN(C)NP(=O)(NN(C)C)Oc1ccccc1;CNP0170413;659;No
Sc1nc2ccccc2s1;NPC69277;659;No
Cc1cc(-c2cc(C)nc3ccccc23)c2ccccc2n1;CNP0415376;659;No
CCC1(c2ccccc2)N=C(O)N(C)C1=O;CNP0334747;659;No
O=C(O)CNc1nc2ncn(Cc3ccccc3)c2c(=O)[nH]1;CNP0371888;659;No
CC(=O)c1ccc2ccc3ccccc3c2c1;CNP0025570;659;No
O=C(Cl)c1cccnc1C(=O)Cl;CNP0180087;659;No
CC1=CCCC1(C(=O)O)c1ccccc1;CNP0304513;659;No
Cc1ccc(-c2oc3c(c2CC(=O)O)c(=O)oc2ccccc23)cc1;CNP0113761;659;No
C=C(C=C(C#N)C=C1N(C)c2ccc3ccccc3c2C1(C)Cc1ccccc1)C(C)(Cc1ccccc1)c1c(C)ccc2ccccc12;CNP0085745;659;No
O=C(O)CCc1nc2cc(-n3c4c(c5ccccc5c3=O)C(=O)c3ccccc3-4)ccc2[nH]1;CNP0312622;659;No
Cc1c(-c2ccccc2)oc2c(C(=O)NCCO)cccc2c1=O;CNP0392781;659;No
CC(C=O)c1ccccc1N=O;CNP0285375;659;No
CCC1C[NH+]2CCC1CC2C[NH+](Cc1ccccc1)Cc1ccccc1;CNP0045118;659;No
O=C(O)C(=O)Cc1ccccc1;['CNP0177093',;659;No
C(C=Cc1ccccc1)=Cc1ccccc1;CNP0390064;659;No
CC(=O)c1sc(=NC(=O)NCc2ccccc2)oc1C;CNP0053935;659;No
O=C(O)C1CN1C(=O)c1ccccc1O;CNP0352218;659;No
CC(C)=C(C=O)c1ccco1;CNP0137976;659;No
Cc1c[nH]c(=O)n(C(=O)c2ccccc2)c1=O;CNP0277892;659;No
c1coc(CSSCc2ccco2)c1;CNP0049531;659;No
CC(NC(=O)NC(C(F)(F)F)C(F)(F)F)c1ccccc1;CNP0090999;659;No
NNC(=O)N1N=C(c2ccccc2)CCC1=O;CNP0043976;659;No
CNc1ccccc1-c1nc(C(=O)O)cs1;CNP0388344;659;No
CC1=Cc2ccccc2C1O;CNP0325411;659;No
O=C(C(C(=O)C(F)(F)F)=P(c1ccccc1)(c1ccccc1)c1ccccc1)N1CCCCC1;CNP0189878;659;No
CCOC=Nc1c(C#N)c(-c2ccc(Cl)cc2)cn1-c1ccccc1;CNP0278654;659;No
Nc1c(CO)nnn1Cc1ccccc1;CNP0024608;659;No
Cc1ccccc1C(=O)CC(N)=O;CNP0141279;659;No
OC1=NC(Cc2ccccc2)C(O)=NC1Cc1ccccc1;CNP0216668;659;No
O=C(Cc1ccccc1C(=O)O)Nc1ccccc1C(=O)O;CNP0417974;659;No
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(C#N)(OC=O)c1cccc(Oc2ccccc2)c1;CNP0101357;659;No
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O;CNP0342179;659;No
c1ccc2scnc2c1;['CNP0300295',;659;No
CC(C)=CC(O)=NCC(O)C1=CC(=O)c2nccc3c2c1nc1ccccc13;NPC328318;659;No
CN[C@@H](C)[C@H](O)c1ccccc1;NPC226778;659;No
CN(Cc1ccccc1)C(=O)C1CC(O)C(O)C2N=C(Nc3ccc(Cl)cc3)SC12;CNP0255451;659;No
OCCc1ccccc1;['NPC108218',;659;No
CSCSS(=O)c1ccccn1;CNP0103502;659;No
Cc1cc(Cc2ccccc2)oc(=O)c1;CNP0435284;659;No
C1=CC(C2C=Cc3ccccc32)c2ccccc21;CNP0421617;659;No
Nn1c([S-])nnc1-c1ccccc1;CNP0267041;659;No
O=C(c1ccco1)C(O)O;CNP0147414;659;No
Oc1ccccc1Cl;CNP0071171;659;No
