SMILES	SLogP	nR_3_True_False_True_False	ESpm03d	N-068	ATSC1dv	GATS2dv	AATS0dv	GATS2d	AATS0p	MATS5Z	AATSC5c	nArCOO	ARR	X0vA	AATS5i	ATSC7c	AATSC7i	BELv0	GATS6i	AATSC6v
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2	3.238100000000002	1	3.643739818649144	1	71.22720000000001	1.1005495737999103	5.64	1.3313609467455627	1.36266520861846	-0.021146100847371337	0.0002415916100894861	0	0.24	0.6345323355988007	161.5854650556491	-0.08762528507910479	-0.01872344142849228	20.9	0.9456214083812822	-4.279542919071654
O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl	4.069700000000001	2	3.5684368850316464	0	9.984134325098594	0.908203866002162	8.813221823974512	1.2655063291139244	1.8251533533335167	-0.028945029833693063	0.009886025332429127	0	0.5714285714285714	0.5870835357921724	157.79259337099677	-0.028512150168758185	-0.2538546411282042	22.46	0.9093108377877415	-1.79397378210872
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	2.65916	2	3.145434215261018	0	19.803489439853077	0.9635036496350365	9.696969696969697	1.3785467128027682	1.7682436955557275	-0.0649639677829589	-0.001130913281020272	0	0.7083333333333334	0.5266782244811672	158.58026772420055	0.07263520437111427	0.20637877651844636	20.91	1.052046672893515	-8.004124409906689
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1	2.7586000000000013	2	4.343129869043935	0	20.75308641975308	0.5912717493174687	10.983164983164983	1.2158311345646438	1.6859719653996366	-0.06620733856753729	0.007802378679731734	0	0.5454545454545454	0.5634286701298987	155.76548646600344	-0.11436915238577158	-0.2502371569276668	24.44	1.0901127407137121	-6.267594737998868
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C	3.735700000000003	3	5.289321343398389	0	148.0	0.868131455399061	8.424778761061948	1.5256906040637948	1.4510479128079554	0.05739100185528757	0.0013327126575587679	0	0.2647058823529412	0.5682701373632808	160.16033737812683	0.4183817961923624	-0.16491372257651965	20.91	0.9683440174528513	0.09070560573176567
CC1(C)SC2C(NC(=O)COc3cccc(F)c3)C(=O)N2C1C(=O)O	0.8361999999999996	1	4.617520802167063	1	49.753338372386	0.8055389353887076	10.105820105820106	1.4150959528785865	1.5842163900579282	-0.07981470230862696	0.0006280143635171565	0	0.2222222222222222	0.5751475345108046	165.1000256268205	-0.30465163501521425	0.15193964902525348	24.43	0.6581511738748778	7.125148995894561
C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C	3.8826000000000036	0	4.391572923517029	0	53.33333333333335	1.0432594291539246	4.627450980392157	1.6890840687938447	1.4176954771719998	-0.028089224595774783	-6.398065897522205e-05	0	0.0	0.626046412234971	161.9924208823938	-0.0075681922767434386	0.18061656314115396	20.91	0.9437424275958604	0.8608447765722453
CC(C)c1cccc(C(C)C)c1O	3.6390000000000025	1	3.1126260250254902	0	40.58064516129033	0.9250347399985375	3.935483870967742	1.585227272727272	1.3584850415252263	-0.44120387248349324	-0.002642625004029736	0	0.46153846153846156	0.6795357647267761	163.10317362832737	-0.005559218271588158	-0.23933363394767337	20.9	1.0188280887492223	-5.9153976969784035
Oc1nc2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1	4.539200000000004	3	3.085836197021842	2	52.60978147762745	1.1071587643678158	5.935483870967742	1.2740826480547307	1.5180950184753224	-0.06410758722931115	-0.0007534141786029949	0	0.6111111111111112	0.5733146713640629	159.17822800393964	0.08938815874730947	0.02081925022149015	20.91	1.0182416665378191	-5.04790188613807
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	3.036500000000001	2	3.5096188079496797	0	37.3267429760666	0.9331208959121107	7.806451612903226	1.3599056603773596	1.522541698964065	0.10104635672581658	0.00016453243600699475	0	0.6111111111111112	0.5767742388679451	161.54288162486523	0.019509502604861388	-0.4145537792194326	20.93	1.0941536652731896	-5.238702633083007
