SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	0	0	1	0.6213700859482272	0.043908942091701084	1.1587956021989005	3.23	2	0.081	0.341	7.73	0.0650406504065041	0.03197674418604651	0	-8.302720927333706
CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)C1C(O)C[C@]2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	1	19	3	1.5222804917325485	-0.02409882884317817	1.611618819997052	4.12	4	0.516	0.439	21.537	0.1441441441441442	0.08844627594627594	0	-10.191449655046334
CCCCCCCCCCCCC/C=C\C(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCCCCCC	0	76	9	0.4219192757114509	0.08920720233826686	1.0655713090667294	3.19	0				0.06274509803921571	0.03552631578947369	1	
O=C(O)CCCC(=O)NCC(=O)O	0	2	3	0.8828502415458938	-0.23315841101655033	0.8655052264808363	3.04	0	0.211	0.106	0.987	0.07936507936507937	0.045454545454545456	1	-16.31857338778847
CCc1cccc(CC)c1N(COC)C(=O)CCl	0	10	0	1.4592182209910738	0.04919789447231266	1.57922077922078	3.25	1	0.048	0.589	3.745	0.09661835748792276	0.06026785714285713	1	-5.855981365537218
CC/C=C/C=C/C(C)=O	1	5	0	0.9495464852607711	0.0012290674450760734	0.8513513513513513	3.04	0	0.015	0.107	0.113	0.05555555555555558	0.041666666666666664	0	-3.7605762883355998
COC1=C(O)C(=O)C(C)=C(C/C=C(/C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O	10	74	1	0.9583999999999999	0.15810672640398127	1.3356461677821951	3.29	1	0.562	0.463	18.863	0.08831908831908838	0.05182926829268293	0	-9.975531812982279
CC1=C(C(C)CO)C[C@@]2(O)[C@]3(C)CC(=O)O[C@]4(C(O)C(C)CC[C@@]34O)[C@@]12O	0	14	5	1.380547860880271	-0.013645496289007495	1.7808199333623063	4.21	3	0.113	0.495	20.885	0.168724279835391	0.10699926900584796	0	-8.92528989627058
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C=O)CC21	0	16	1	1.2886806925268461	0.024481927306280477	1.1994499610591904	4.02	2	0.215	0.348	5.89	0.07602339181286552	0.06101190476190477	0	-5.378391797444294
COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C	0	18	5	1.211876708455085	-0.03660395821187336	1.2006334768429836	4.02	2	0.597	0.408	12.613	0.08108108108108111	0.053571428571428575	1	-16.498942341748347
CCCCC/C=C\C(=O)OC	0	11	0	1.0471140656325841	-0.1384789117075477	1.1227272727272728	3.04	0	0.006	0.156	2.713	0.06666666666666671	0.027777777777777776	0	-3.1613837999893803
O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32	0	0	0	0.6905859117840683	-0.03827298743312182	1.0947587447981104	3.33	4	0.01	0.156	0.408	0.06734006734006737	0.042229729729729715	0	-7.940600562933681
CCCCCC/C=C\C=C\CCCCCCCC(=O)O	0	25	1	0.39215686274509803	-0.0243937437221983	0.904772058509958	3.04	0	0.114	0.228	8.567	0.023391812865497085	0.014705882352941176	0	-4.537798095503771
Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2CC1CCCCC1	0	10	1	1.9042857142857141	0.11641490571794047	1.0347877358490565	3.32	1	0.018	0.323	4.711	0.07638888888888892	0.05408249158249158	1	-5.698428734218499
NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC=O)C(=O)O)C(=O)O)C(=O)O)C(=O)O	0	0	9	0.779600197782016	-0.2645404584908319	1.0556102362204725	3.13	0	0.565	0.284	14.992	0.09876543209876548	0.04787234042553192	1	-30.768507335618562
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1	0	2	0	0.7100591715976329	-0.007872014578889653	1.202915228231684	3.17	3	0.207	0.391	4.55	0.06619385342789602	0.025815217391304345	0	-9.466385653924174
CC(C)=CCOC(=O)c1ccccc1	1	6	0	1.209183673469388	-0.022524721055670844	1.1582840236686391	3.14	1	0.066	0.178	3.63	0.07843137254901963	0.04583333333333333	0	-6.376284756196586
O=C(OCC1OC(c2c(O)cc(O)c(C(=O)c3ccc(O)cc3)c2O)C(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C1O)c1cc(O)c(O)c(O)c1	0	0	12	-0.008594544819238582	-0.05283696554042859	1.172225745085605	3.3	4	0.611	0.373	9.618	0.10298102981029816	0.0546875	0	-45.25707074254065
C=CCCCCCOC(=O)C(C)CCCC(C)CCCC(C)CCC(=O)O	0	31	1	0.7045263600084013	-0.08087686569471576	1.0873779851433487	3.12	0	0.215	0.323	10.134	0.08148148148148153	0.038793103448275856	0	-6.1543361924001925
