SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	0.0	0	13.64	0.7479913271117631	3.9077954923707425	0.4642999729090061	4.794537184071822	0.28226505834121723	1	0.0	0.7662721893491125	2.385	0.196	-6.767431499220325	0.38132788610182133	0.8505587330037776	1.137
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	20.199310353102682	4	14.55	0.8603806082706966	2.0068593648815507	1.2391855605537017	0.0	0.2617970265029088	16	1.743282807460297	2.5878378378378377	1.296	0.262	-5.421875	0.8590138507404133	1.026307792989207	-0.109
CC(C)COC[C@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1	37.74794287761404	10	14.54	0.9934930743512402	0.5821974275757642	1.8953121149057914	11.281619359712625	0.26449451848388017	23	2.6379938534055603	2.290909090909091	2.146	0.265	-29.24858908895459	1.2513552451008743	1.0475607985527533	0.475
CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O	12.081637846217014	0	14.56	0.5573899221547329	0.2847582217043203	0.9586416134474638	15.846667644643954	0.0731760589043272	5	0.2847582217043203	2.81377151799687	-0.13	0.326	48.46770737679829	0.48132132342920086	0.7717664831487481	-0.383
CC1C(=O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3	0.0	0	13.72	0.7638048520252136	-0.13705498866213173	1.0537801052241622	24.043404998184144	0.47671902268760913	0	0.0	1.654320987654321	1.562	0.322	96.49206349206352	0.5051856243640681	0.6713469664880258	0.391
CCC(N)Cc1ccc2c(c1)OCO2	6.792942306099827	3	14.54	0.7980733286848538	1.6709471844293275	1.1469918504963985	6.4208216229260096	0.3290873276428102	4	2.8826138510959947	1.4745762711864407	0.992	0.408	26.8680142687277	0.9409846081452354	1.3075110803525212	0.396
CC1CC[C@@]2(OC1)OC1CC3C4CC(O)C5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC[C@]5(C)C4CC[C@]3(C)C1C2C	33.03440982256459	0	13.65	0.5756568482737674	1.6405650060227688	1.0408564471276773	47.36862953800049	0.1172595882567711	29	0.0	2.8078602620087336	4.082	0.116	-19.7668209327162	0.8887663106391726	0.939505221311667	0.486
CCCCCCCC1OC1CC#CC#CC(=O)CCO	6.606881964512918	0	13.64	0.8103429689793861	10.19650277923248	0.9596602623199744	9.53140013787187	0.29038340666247625	4	0.0	2.1012658227848102	2.096	0.322	3.871900826446275	0.6899833617339989	0.9187657290000986	0.554
C=CCc1ccc(OC)c(OC)c1	14.219595082555067	3	13.63	0.9437820787940084	1.5251502267573702	1.6766370501452101	6.4208216229260096	0.3454746136865343	12	2.6989002267573703	1.2	1.972	0.462	-0.7530864197530818	1.2679323725055431	0.7943378532265523	-0.177
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21	0.0	2	13.63	0.9105132173936654	2.0434075391966804	0.800401919618589	6.4208216229260096	0.48272564810731766	3	3.5205781788023858	1.621301775147929	2.18	0.269	56.54004983980062	0.5138864865714823	2.2697666741275846	0.551
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1	39.26853843547545	7	17.42	0.8479609098995505	0.21876246751135786	1.1351332886108605	0.0	0.2726836252607021	19	2.746193457777049	2.7973063973063974	3.059	0.244	6.778758136406651	0.47359275382441884	0.9651891589371657	-0.2
